"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1GTC0DN9LGOdP0NdvoHyX7","ゆめうつつ","spotify:artist:0rFHElzeddB9ymDjgpBENX","Lamp","spotify:album:7b55VfUk2Vpuqnac9NDREc","ランプ幻想","spotify:artist:0rFHElzeddB9ymDjgpBENX","Lamp","2008-12-03","https://i.scdn.co/image/ab67616d0000b273bbc2ac628f52cd6127e20bfa","1","5","315640","https://p.scdn.co/mp3-preview/3474b34a7df3b20a3ca2769561c785b657c01991?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","JPG100800130","spotify:user:eng3xao8ue75f86y407z3urig","2023-04-16T01:01:05Z"
"spotify:track:1EA40FX9aBaKIXwIp83WzL","二十歳の恋","spotify:artist:0rFHElzeddB9ymDjgpBENX","Lamp","spotify:album:7b55VfUk2Vpuqnac9NDREc","ランプ幻想","spotify:artist:0rFHElzeddB9ymDjgpBENX","Lamp","2008-12-03","https://i.scdn.co/image/ab67616d0000b273bbc2ac628f52cd6127e20bfa","1","8","193466","https://p.scdn.co/mp3-preview/f2e4bf696af32a1ead26d5ae55dfdb622305fe9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","JPG100800133","spotify:user:eng3xao8ue75f86y407z3urig","2023-04-16T01:01:07Z"
"spotify:track:6DlE7htdHpNPUrKgOHsED2","秋の惑星 -Opening-","spotify:artist:0KZ83Y1bF24W54rmvP2qxr, spotify:artist:0rFHElzeddB9ymDjgpBENX","Kaede, Lamp","spotify:album:2zlqGmvK44juWNX1LaJ0US","秋の惑星、ハートはナイトブルー。","spotify:artist:0KZ83Y1bF24W54rmvP2qxr, spotify:artist:0rFHElzeddB9ymDjgpBENX","Kaede, Lamp","2020-09-08","https://i.scdn.co/image/ab67616d0000b2733150015b020fe6c620b38e63","1","1","66730","https://p.scdn.co/mp3-preview/5253ebdfef522a37c6f9690ebf7800d091af3a81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","JPE871903751","spotify:user:eng3xao8ue75f86y407z3urig","2023-06-01T15:58:55Z"
"spotify:track:2fsUmzxehyV8M0zXoxcBbE","ムード・ロマンティカNo2","spotify:artist:0rFHElzeddB9ymDjgpBENX","Lamp","spotify:album:6yXvLJMTXfEiZVpk6o3No2","残光","spotify:artist:0rFHElzeddB9ymDjgpBENX","Lamp","2007-03-07","https://i.scdn.co/image/ab67616d0000b273e7221a6a12a998649b9eaa81","1","2","267493","https://p.scdn.co/mp3-preview/7a43aecb20452d5605666daec38ad430c0036d52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","JPG100701402","spotify:user:eng3xao8ue75f86y407z3urig","2023-06-01T15:59:44Z"
"spotify:track:26nkboSGZauLZQJo2Ni1vA","ベサメ・ムーチョ","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","spotify:album:2Vyh5vI7IPQ6yMcIfYcLFp","Romance Latino vol.3 -Cuba Caliente Y Su Ritmo Sabroso-","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","2005-08-19","https://i.scdn.co/image/ab67616d0000b27364d94d72548b885f14ea96c9","1","4","199973","","false","59","JPTO00501603","spotify:user:eng3xao8ue75f86y407z3urig","2023-04-16T01:01:15Z"
"spotify:track:5CzhAD9QczjC4IYwmlfDPH","スウェイ・イット・フラ・ガール","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","spotify:album:6x3fHmUUkX81tBX5n6NbJV","Bossa Hula Nova","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","2001-07-11","https://i.scdn.co/image/ab67616d0000b273541aefb6f6f1a51caece4be4","1","12","265933","","false","53","JPTO00100844","spotify:user:eng3xao8ue75f86y407z3urig","2023-04-16T01:01:20Z"
"spotify:track:75Wq1LZlCcpSTB3YCiV4y6","Garota de Ipanema - 2006 Version","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","spotify:album:0Yty1q1y2EHCP06iMRLFCs","Around The World","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","2006-08-11","https://i.scdn.co/image/ab67616d0000b273d4b7e1b8dd5c3e983021aac9","1","1","282053","","false","50","JPTO00601258","spotify:user:eng3xao8ue75f86y407z3urig","2023-04-16T01:11:13Z"
"spotify:track:3eQ2YHiFh7GtXloePYCOLA","Gentle On My Mind","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","spotify:album:3ZXyPBDeYnCHukX6r50LDh","Jambalaya -Bossa Americana-","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","2006-07-12","https://i.scdn.co/image/ab67616d0000b273ebe33ae1c4f93d2674ed7bb9","1","6","281453","","false","40","JPTO00600616","spotify:user:eng3xao8ue75f86y407z3urig","2023-04-16T01:11:23Z"
"spotify:track:6yISfdj2mq1q9EyPGgnvO1","夕暮れ","spotify:artist:0rFHElzeddB9ymDjgpBENX","Lamp","spotify:album:7b55VfUk2Vpuqnac9NDREc","ランプ幻想","spotify:artist:0rFHElzeddB9ymDjgpBENX","Lamp","2008-12-03","https://i.scdn.co/image/ab67616d0000b273bbc2ac628f52cd6127e20bfa","1","3","331546","https://p.scdn.co/mp3-preview/2ea8a3187f4524853b723bf56e047663304c9f34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","JPG100800128","spotify:user:eng3xao8ue75f86y407z3urig","2023-04-16T01:11:42Z"
"spotify:track:10tVro1Eq5twOXg0HDOFWX","サボール・ア・ミ","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","spotify:album:0yj4levaDbYPWEDH1q03r9","サボール・ア・ミ(アルバム未収録バージョン)","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","2005-07-22","https://i.scdn.co/image/ab67616d0000b273f57d3809876d28dea3183274","1","1","194413","","false","13","JPTO00501559","spotify:user:eng3xao8ue75f86y407z3urig","2023-04-16T01:12:10Z"
"spotify:track:2GnvaCUjdpBggKveblmNq4","アカラント・デ・アモール / 愛の子守歌","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","spotify:album:3oLW2gHjjRlW8IHKVowBIV","Romance Latino vol.2 -Baladas Romanticas Al Ritmo De Bossanova-","spotify:artist:4WJ4FSFiEsJbK4SpGi4w1k","Lisa Ono","2005-07-27","https://i.scdn.co/image/ab67616d0000b273aff00d0fed0c920c29e2e922","1","8","181173","","false","20","JPTO00501268","spotify:user:eng3xao8ue75f86y407z3urig","2023-04-16T01:12:17Z"
